JM,Decisions du juge des mines du Québec,Can (QC),1967-1 972
Johns,Johnson's Reports (ER vol 70),UK / R-U,1859
Jones# T,Jones# T# Reports (ER vol 84),UK!R-U, 1667-1 685
Jones# W,Jones W# Reports (ER vol 82),UK! R-U,1620-1641
JSST,Jurisprudence en sante et sécurité du travail,Can (QC), 1983-1985
JSSTI,Jurisprudence en sante et sécurité du travail# decisions en matière d'inspection,Can (QC), 1981-1 983
K & J,Kay & Johnson's Reports (ER vols 69-70),UK! R-U,1854-1 858
 Kay,Kay's Reports (ER vol 69),UK / R-U,1853-1854
 KB,Law Reports# King's Bench,UK!R-U, 1901-1 951
Keble,Keble's Reports (ER vols 83-84),UK! R-U,166 1-1679
 Keen,Keen's Reports (ER vol 48),UK! R-U, 1836-1838
Keilway,Keilway's Reports (ER vol 72),UK!R-U, 1496-1 531
